KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,　人口総数,　人口総数　男,　人口総数　女,　０～１４歳人口総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　２０歳以上人口総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口総数,　７５歳以上人口　男,　７５歳以上人口　女,　外国人人口総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯の一般世帯数,　２人世帯の一般世帯数,　３人世帯の一般世帯数,　４人世帯の一般世帯数,　５人世帯の一般世帯数,　６人世帯の一般世帯数,　７人以上世帯の一般世帯数,　親族のみの一般世帯数,　核家族の一般世帯数,　核家族以外の一般世帯数,　６歳未満世帯員のいる一般世帯数,　６５歳以上世帯員のいる一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯の一般世帯数,　高齢単身の一般世帯数,　高齢夫婦のみの一般世帯数
513350093,0,,,511,254,257,69,42,27,441,211,230,315,152,163,416,202,214,126,59,67,55,26,29,0,0,0,205,205,41,78,46,29,9,0,2,162,145,17,24,84,3,19,33
513350101,2,513350103,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513350103,1,,513350101,43,24,19,6,5,1,42,21,21,25,15,10,41,20,21,17,6,11,9,2,7,0,0,0,15,15,3,7,4,0,1,1,1,14,10,4,1,12,0,2,3
513350104,0,,,123,26,97,1,1,0,122,25,97,7,4,3,121,24,97,115,21,94,110,19,91,0,0,0,6,5,1,2,0,2,0,0,0,4,3,1,0,4,0,1,1
513350111,0,,,48,24,24,6,3,3,42,21,21,25,13,12,38,19,19,17,8,9,7,2,5,1,0,1,17,17,3,6,3,1,4,0,0,14,10,4,1,11,0,2,3
513350112,0,,,12,5,7,0,0,0,12,5,7,4,1,3,12,5,7,8,4,4,5,2,3,0,0,0,7,7,2,5,0,0,0,0,0,5,5,0,0,6,0,1,3
513350113,0,,,17,8,9,1,1,0,16,7,9,10,4,6,16,7,9,6,3,3,4,1,3,0,0,0,7,7,2,1,3,1,0,0,0,5,3,2,1,5,0,1,1
513350182,0,,,412,215,197,10,6,4,402,209,193,193,114,79,397,208,189,209,95,114,100,35,65,1,1,0,33,26,9,6,5,1,2,3,0,16,12,4,2,15,1,5,3
513350184,0,,,14,9,5,0,0,0,14,9,5,9,6,3,11,6,5,5,3,2,4,2,2,0,0,0,4,4,1,0,1,1,0,1,0,3,1,2,0,3,0,1,0
513350191,0,,,11,5,6,0,0,0,11,5,6,6,3,3,10,5,5,5,2,3,2,1,1,0,0,0,5,5,1,2,2,0,0,0,0,4,4,0,0,3,0,1,2
513350192,0,,,222,108,114,39,19,20,183,89,94,139,70,69,168,82,86,44,19,25,22,8,14,0,0,0,73,73,8,23,19,13,3,6,1,64,54,10,10,26,0,1,9
513350194,0,,,62,33,29,13,7,6,49,26,23,35,19,16,41,22,19,14,7,7,8,4,4,0,0,0,20,20,3,6,2,5,3,1,0,17,15,2,1,9,0,3,1
